siteid size segmentid n k a cost maxdate mindate days
764271 728x90 81 3723829 1736 7 3094.03 2011-09-27 2011-03-01 210
755495 728x90 1183 3658828 252 1 588.24 2011-11-18 2011-03-01 262
799620 468x60 1183 3637147 396 2 785.25 2011-11-28 2011-04-07 235
792442 300x250 81 3567445 65 0 203.25 2011-11-28 2011-03-01 272
778138 160x600 1183 3560351 126 1 1332.77 2011-11-28 2011-03-01 272
774548 160x600 1183 3556036 22606 27 1464.65 2011-11-28 2011-03-01 272
795236 300x250 83 3530619 216 1 149.62 2011-09-17 2011-03-01 200
794037 728x90 82 3516425 144 0 176.56 2011-11-28 2011-03-13 260
795233 300x250 1183 3499182 880 11 1242.87 2011-09-26 2011-03-01 209
804802 300x250 1183 3499110 645 16 2416.68 2011-11-28 2011-07-13 138
736149 728x90 1183 3471078 947 6 915.26 2011-11-28 2011-03-01 272
778653 160x600 83 3443386 385 0 256.64 2011-08-24 2011-03-01 176
787698 728x90 69 3442760 280 5 96.49 2011-11-28 2011-05-16 196
781892 160x600 1183 3427186 7093 14 2754.85 2011-06-20 2011-03-01 111
795605 160x600 87 3417569 2635 34 1562.66 2011-09-22 2011-03-01 205
748538 728x90 1 3415832 167 0 172.57 2011-07-12 2011-03-01 133
755494 160x600 1183 3393076 1748 5 630.96 2011-11-28 2011-03-01 272
794038 300x250 84 3376361 60 0 208.69 2011-11-28 2011-03-01 272
776691 300x250 1183 3371187 1302 26 2962.79 2011-09-22 2011-03-09 197
778657 728x90 81 3306312 207 2 233.24 2011-09-27 2011-03-01 210
770179 728x90 1183 3285955 753 9 686.74 2011-11-28 2011-03-01 272
775471 468x60 1183 3233605 426 3 1633.39 2011-11-28 2011-03-29 244
786682 300x250 1183 3232621 54 0 158.36 2011-11-28 2011-03-01 272
777725 300x250 1183 3185660 1341 19 1790.14 2011-11-28 2011-03-03 270
734865 728x90 85 3170919 249 1 159.79 2011-11-15 2011-03-01 259
790305 728x90 1183 3161321 144 0 160.60 2011-06-25 2011-03-01 116
770259 728x90 78 3158306 196 2 121.08 2011-09-25 2011-03-01 208
743572 300x250 1 3112773 839 11 4935.78 2011-11-28 2011-04-02 240
763096 728x90 81 3072865 154 3 1930.67 2011-11-28 2011-03-09 264
746591 300x250 1183 3050568 1027 20 1027.17 2011-11-28 2011-03-01 272
785546 728x90 78 3042336 418 1 632.96 2011-09-27 2011-03-24 187
743812 728x90 84 3031905 2717 15 2509.79 2011-06-04 2011-03-01 95
770259 728x90 81 3023762 180 0 193.70 2011-09-27 2011-03-01 210
788695 728x90 81 3001633 4206 1 1012.71 2011-11-28 2011-03-31 242
789062 160x600 83 2991826 321 0 255.49 2011-08-31 2011-03-01 183
795237 728x90 82 2991366 224 0 155.22 2011-09-27 2011-03-11 200
763924 300x250 65 2990103 7451 28 2571.24 2011-11-28 2011-03-17 256
785970 234x60 1183 2979427 17 0 143.52 2011-11-28 2011-03-01 272
794037 728x90 84 2959089 191 0 125.39 2011-11-25 2011-03-01 269
807786 160x600 1183 2956983 866 3 326.28 2011-09-27 2011-06-25 94
791520 300x250 1183 2946058 129 0 364.36 2011-09-26 2011-03-03 207
756432 160x600 1 2926741 221 0 157.42 2011-07-12 2011-03-01 133
790491 180x150 65 2924854 174 0 1468.25 2011-10-21 2011-03-02 233
778814 728x90 1183 2893540 28 0 162.53 2011-06-03 2011-03-01 94
778104 300x250 1183 2884724 934 7 991.79 2011-11-28 2011-03-01 272
738982 728x90 69 2857298 7 0 144.03 2011-07-12 2011-03-01 133
770253 160x600 78 2847125 423 3 156.26 2011-09-24 2011-03-01 207
754080 468x60 1 2835960 283 3 227.43 2011-08-24 2011-03-01 176
789061 728x90 81 2833664 350 3 624.38 2011-09-26 2011-03-01 209
787682 300x250 1183 2828035 25188 104 3456.88 2011-11-28 2011-03-09 264
770253 160x600 82 2787955 332 3 203.51 2011-09-26 2011-03-01 209
799147 728x90 1183 2784054 101 0 107.23 2011-11-26 2011-03-01 270
790037 300x250 1183 2765408 337 7 847.61 2011-11-28 2011-03-01 272
755493 300x250 1183 2757883 1448 11 586.23 2011-11-19 2011-03-01 263
770255 300x250 81 2748782 458 2 286.48 2011-09-27 2011-03-01 210
795193 728x90 1183 2742141 1562 16 2041.27 2011-11-28 2011-03-01 272
772559 728x90 1183 2735819 793 10 872.91 2011-09-27 2011-03-01 210
692114 300x250 1 2722081 372 9 2246.78 2011-11-28 2011-03-01 272
787122 728x90 1183 2704762 5898 8 1997.67 2011-11-28 2011-03-02 271
800846 160x600 1183 2685094 1446 7 1519.76 2011-11-28 2011-07-13 138
785739 234x60 1183 2684574 41 0 129.69 2011-11-28 2011-03-01 272
734099 728x90 1 2681274 78 1 402.37 2011-11-28 2011-03-01 272
782800 728x90 66 2680154 430 10 948.53 2011-11-28 2011-03-01 272
771437 160x600 1183 2675190 1134 2 786.52 2011-10-13 2011-03-03 224
784887 160x600 1183 2669244 234 1 1677.68 2011-11-28 2011-03-09 264
787504 728x90 1183 2657023 1633 1 1373.87 2011-11-23 2011-03-01 267
