siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
802332	160x600	87	3639	4	0	1.32	2011-12-06	2011-07-28	131
801805	728x90	-20	175309	53	0	1.32	2011-10-21	2011-07-03	110
790871	728x90	1183	14902	1	0	1.32	2011-07-12	2011-03-09	125
730421	160x600	1	1132	3	0	1.32	2011-05-04	2011-03-03	62
796513	160x600	1183	2644	0	0	1.32	2011-05-04	2011-03-03	62
796018	728x90	1183	3056	11	0	1.33	2011-06-29	2011-05-17	43
805998	300x250	1183	3420	5	0	1.33	2011-11-15	2011-07-13	125
773734	728x90	78	1266	1	0	1.33	2011-05-05	2011-03-01	65
798763	160x600	1183	6737	2	0	1.33	2011-08-01	2011-03-01	153
783166	728x90	1183	3319	6	0	1.33	2011-07-22	2011-03-01	143
780335	300x250	1183	3825	1	0	1.33	2011-09-14	2011-03-10	188
781891	300x250	87	2250	1	0	1.34	2011-08-12	2011-07-13	30
777348	728x90	1183	4888	2	0	1.34	2011-12-08	2011-03-01	282
780179	160x600	87	1228	0	0	1.34	2011-11-22	2011-07-13	132
782736	300x250	79	1042	0	0	1.34	2011-12-11	2011-07-13	151
791566	300x250	1183	3280	2	0	1.34	2011-12-11	2011-03-17	269
785967	300x250	87	14084	0	0	1.34	2011-09-08	2011-03-02	190
761481	160x600	1183	6844	0	0	1.34	2011-11-27	2011-03-06	266
777542	160x600	87	3646	1	0	1.34	2011-05-18	2011-03-01	78
759237	300x250	1183	2309	0	0	1.34	2011-03-30	2011-03-01	29
743244	300x250	1183	3026	5	0	1.35	2011-03-21	2011-03-10	11
743236	300x250	81	459	2	0	1.35	2011-03-15	2011-03-13	2
777498	160x600	1183	5747	0	0	1.35	2011-12-11	2011-03-01	285
804678	300x250	1183	4305	1	0	1.35	2011-12-11	2011-06-30	164
807497	728x90	87	2894	0	0	1.36	2011-12-11	2011-07-13	151
804102	300x250	1183	2488	4	0	1.36	2011-08-24	2011-07-13	42
777407	728x90	1183	6680	0	0	1.36	2011-05-10	2011-03-01	70
791359	728x90	83	19205	6	0	1.37	2011-08-25	2011-03-04	174
806882	728x90	1183	3305	0	0	1.37	2011-11-22	2011-07-13	132
765057	300x250	1183	2767	3	0	1.37	2011-09-08	2011-03-01	191
770455	728x90	1183	2507	4	0	1.37	2011-12-11	2011-07-13	151
778070	728x90	1183	2133	0	0	1.38	2011-12-11	2011-07-13	151
799643	300x250	1183	2733	1	0	1.38	2011-12-11	2011-07-13	151
793816	728x90	87	4278	6	0	1.38	2011-05-24	2011-03-01	84
40774	468x60	1	3414	1	0	1.38	2011-10-21	2011-03-02	233
789111	728x90	81	2127	2	0	1.38	2011-08-28	2011-03-01	180
792429	728x90	1183	5760	0	0	1.38	2011-06-07	2011-03-01	98
789063	300x250	81	3521	0	0	1.38	2011-09-27	2011-03-03	208
790392	728x90	69	505523	35	0	1.38	2011-12-11	2011-09-10	92
798246	300x250	87	2034	0	0	1.39	2011-12-11	2011-03-20	266
797415	300x250	1183	11517	34	1	1.40	2011-12-10	2011-07-13	150
795769	300x250	87	14790	0	0	1.40	2011-12-08	2011-03-09	274
806179	300x250	1183	4038	1	0	1.40	2011-11-28	2011-07-13	138
807443	728x90	1183	5310	0	0	1.40	2011-09-08	2011-07-13	57
806246	300x250	1183	6266	3	0	1.40	2011-09-27	2011-07-13	76
777068	728x90	1183	3953	3	0	1.40	2011-12-11	2011-03-01	285
795431	728x90	1183	4878	1	0	1.41	2011-07-09	2011-03-09	122
787502	300x250	1183	7617	0	0	1.41	2011-11-26	2011-03-02	269
792154	728x90	1183	2220	0	0	1.42	2011-11-29	2011-07-13	139
804621	300x250	1183	1769	0	0	1.42	2011-10-05	2011-07-14	83
790391	300x250	1183	3286	0	0	1.42	2011-05-06	2011-03-01	66
790035	160x600	1183	5866	3	0	1.43	2011-09-12	2011-03-14	182
801516	728x90	87	5330	0	0	1.43	2011-12-11	2011-04-01	254
790579	120x600	1235	5331	2	0	1.43	2011-09-17	2011-04-06	164
786191	300x250	1183	1949	2	0	1.43	2011-06-29	2011-03-03	118
770354	160x600	1183	29634	9	1	1.44	2011-07-12	2011-07-04	8
770965	300x250	1183	3529	1	0	1.44	2011-12-09	2011-03-12	272
787474	728x90	67	53887	0	0	1.44	2011-09-28	2011-04-07	174
807956	300x250	1183	18640	28	0	1.45	2011-09-27	2011-07-15	74
788079	160x600	87	5048	2	0	1.45	2011-08-17	2011-03-09	161
785405	300x250	87	2673	0	0	1.45	2011-09-27	2011-04-02	178
792915	728x90	1183	1111	1	0	1.45	2011-07-02	2011-03-11	113
793868	300x250	1183	1619	1	0	1.46	2011-10-07	2011-07-13	86
780831	728x90	1183	1642	0	0	1.46	2011-07-05	2011-06-14	21
