siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
743236	300x250	84	64	0	0	0.06	2011-03-13	2011-03-12	1
795739	728x90	87	65	0	0	0.04	2011-10-21	2011-03-11	224
790167	160x600	87	65	0	0	0.03	2011-08-26	2011-05-18	100
761022	300x250	1	65	0	0	0.03	2011-04-04	2011-03-01	34
789834	160x600	1183	65	1	0	0.06	2011-09-01	2011-07-13	50
794532	160x600	87	66	0	0	0.04	2011-08-23	2011-03-20	156
782572	300x250	87	66	0	0	0.04	2012-01-07	2011-07-13	178
756425	300x250	1	68	2	0	0.02	2011-03-23	2011-03-11	12
792252	728x90	1183	69	0	0	0.04	2011-04-09	2011-03-26	14
805702	728x90	1183	69	1	0	0.02	2011-11-10	2011-07-13	120
784163	728x90	79	69	0	0	0.01	2011-03-24	2011-03-17	7
790962	300x250	87	70	0	0	0.02	2012-01-19	2011-07-14	189
802857	160x600	1183	70	0	0	0.03	2012-02-03	2011-12-12	53
807553	160x600	1183	71	0	0	0.12	2011-12-14	2011-12-01	13
699872	728x90	65	71	1	0	0.11	2011-12-30	2011-12-12	18
796496	160x600	1183	72	0	0	0.01	2011-04-05	2011-03-03	33
797192	728x90	1183	72	0	0	0.04	2011-11-16	2011-03-02	259
754579	728x90	1149	72	0	0	0.01	2011-04-21	2011-03-03	49
804597	300x250	1183	72	1	0	0.02	2011-08-19	2011-07-13	37
755236	728x90	1	72	0	0	0.03	2011-04-01	2011-03-02	30
798801	300x250	1183	72	0	0	0.04	2011-04-01	2011-03-17	15
769551	728x90	65	73	0	0	0.01	2011-10-21	2011-03-09	226
798153	728x90	1183	74	0	0	0.02	2011-08-09	2011-03-10	152
794368	728x90	87	74	0	0	0.01	2011-03-14	2011-03-09	5
795859	728x90	1183	76	0	0	0.03	2011-03-25	2011-03-02	23
798834	728x90	1183	77	0	0	0.01	2011-03-15	2011-03-02	13
797880	160x600	1183	77	0	0	0.08	2011-03-17	2011-03-05	12
730422	300x250	84	77	0	0	0.01	2011-03-10	2011-03-03	7
796716	160x600	87	78	1	0	0.01	2011-10-21	2011-03-09	226
756039	728x90	1	78	0	0	0.02	2011-10-11	2011-03-14	211
787438	728x90	1236	79	0	0	0.19	2011-04-22	2011-03-09	44
797117	300x250	1183	80	0	0	0.02	2011-03-23	2011-03-17	6
790174	728x90	1183	82	0	0	0.02	2011-03-27	2011-03-09	18
783180	728x90	1236	83	0	0	0.09	2011-03-17	2011-03-11	6
792102	300x250	87	83	0	0	0.10	2011-09-18	2011-03-30	172
797351	300x250	87	83	4	0	0.04	2011-03-27	2011-03-10	17
803756	300x250	1183	84	0	0	0.02	2011-08-02	2011-07-13	20
751515	160x600	1	84	0	0	0.01	2011-05-04	2011-04-20	14
792256	728x90	87	84	0	0	0.03	2012-02-02	2011-07-13	204
785972	728x90	1183	84	0	0	0.11	2012-02-03	2011-12-12	53
770670	728x90	87	85	0	0	0.27	2011-03-13	2011-03-10	3
779433	728x90	1183	85	0	0	0.02	2011-06-23	2011-03-06	109
784163	728x90	84	85	0	0	0.01	2011-03-31	2011-03-17	14
808004	728x90	1183	85	0	0	0.02	2011-12-14	2011-07-14	153
739214	300x250	1	86	1	0	0.06	2011-08-19	2011-07-13	37
766814	300x250	292	87	1	0	0.01	2011-07-24	2011-03-02	144
808213	728x90	1183	87	0	0	0.13	2011-12-13	2011-12-12	1
781663	300x250	1183	88	0	0	0.08	2011-10-19	2011-07-13	98
761303	300x250	1	89	0	0	0.01	2011-03-26	2011-03-06	20
791039	300x250	87	89	0	0	0.07	2011-04-09	2011-03-18	22
764043	160x600	1183	90	0	0	0.05	2012-02-05	2011-07-14	206
783553	300x250	1183	90	0	0	0.05	2011-03-24	2011-03-09	15
708140	728x90	1183	90	0	0	0.01	2011-10-20	2011-03-03	231
789417	728x90	87	92	0	0	0.04	2011-03-26	2011-03-09	17
801375	300x250	1183	92	0	0	0.01	2011-09-11	2011-07-14	59
784041	160x600	1183	92	0	0	0.04	2011-04-17	2011-03-02	46
694300	728x90	78	93	0	0	0.01	2011-12-31	2011-07-14	170
796118	728x90	87	93	0	0	0.02	2011-03-16	2011-03-01	15
792944	728x90	1183	94	0	0	0.01	2011-07-12	2011-03-27	107
794257	300x250	1183	94	0	0	0.08	2011-05-30	2011-03-17	74
761304	160x600	1	95	0	0	0.02	2011-04-01	2011-03-02	30
770521	160x600	1183	95	0	0	0.02	2011-03-30	2011-03-02	28
792533	728x90	87	96	0	0	0.01	2011-03-29	2011-03-03	26
782697	160x600	1183	96	0	0	0.02	2011-07-14	2011-03-01	135
781624	160x600	1183	96	0	0	0.19	2011-12-13	2011-12-12	1
743208	728x90	84	97	0	0	0.14	2011-03-12	2011-03-11	1
800300	300x250	1183	98	0	0	0.01	2011-04-23	2011-03-15	39
796764	160x600	1183	98	1	0	0.03	2011-03-28	2011-03-09	19
790917	300x250	1235	98	0	0	0.03	2011-03-25	2011-03-15	10
796717	160x600	1183	99	0	0	0.02	2011-10-21	2011-03-09	226
787440	300x250	87	99	1	0	0.02	2011-04-08	2011-03-07	32
805183	728x90	87	100	0	0	0.04	2011-08-19	2011-07-13	37
792437	728x90	79	100	0	0	0.03	2011-12-05	2011-04-22	227
794170	160x600	1183	100	0	0	0.09	2011-12-13	2011-10-07	67
793850	728x90	1183	101	0	0	0.02	2011-08-20	2011-03-11	162
800434	300x250	1183	101	0	0	0.09	2011-10-05	2011-07-19	78
795985	160x600	1235	102	0	0	0.02	2011-03-27	2011-03-02	25
781103	728x90	1236	102	0	0	0.09	2011-03-16	2011-03-09	7
