san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
aigebi1amjul11	792788	728x90	87	315	0	0	0.00	2011-09-06	2011-07-24	44	9
aigebi1amjul11	798781	300x250	1183	764	1	0	0.00	2011-09-24	2011-08-05	50	9
aigebi1amjul11	803274	300x250	87	500	0	0	0.00	2011-09-22	2011-07-14	70	9
aigebi1amjul11	806491	728x90	87	1450	4	0	0.00	2011-09-25	2011-08-04	52	9
aigebi1amjul11	809727	300x250	1183	111	0	0	0.00	2011-09-12	2011-09-11	1	9
aigebi1amjul11	808100	728x90	87	4	0	0	0.00	2011-08-02	2011-08-01	1	4
aigebi1amjul11	814825	728x90	1183	6	0	0	0.00	2011-10-20	2011-10-20	0	2
aigebi1amjul11	811477	300x250	1183	75	0	0	0.00	2011-08-17	2011-08-17	0	9
aigebi1amjul11	818181	300x250	1183	24	0	0	0.00	2011-11-17	2011-11-17	0	3
aigebi1amjul11	775441	120x600	1183	9	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	770917	300x250	1184	1	0	0	0.00	2011-08-15	2011-08-15	0	1
aigebi1amjul11	787097	728x90	1183	69	0	0	0.00	2011-09-18	2011-07-17	63	9
aigebi1amjul11	765342	300x250	1184	37	0	0	0.00	2011-08-16	2011-08-15	1	8
aigebi1amjul11	784832	300x250	1184	10	0	0	0.00	2011-08-15	2011-08-15	0	7
aigebi1amjul11	789069	300x250	85	7	0	0	0.00	2011-08-23	2011-07-16	38	5
aigebi1amjul11	794879	120x600	87	3	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	792909	300x250	1184	2	0	0	0.00	2011-08-15	2011-08-15	0	2
aigebi1amjul11	798978	728x90	87	904	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	806615	300x250	87	252	0	0	0.00	2011-09-26	2011-08-15	42	9
aigebi1amjul11	805108	300x250	1184	2	0	0	0.00	2011-08-16	2011-08-15	1	2
aigebi1amjul11	809798	728x90	1183	27	0	0	0.00	2011-09-16	2011-08-06	41	9
aigebi1amjul11	815127	160x600	1183	42	0	0	0.00	2011-10-08	2011-10-08	0	8
aigebi1amjul11	811612	728x90	1183	3	0	0	0.00	2011-08-18	2011-08-18	0	2
aigebi1amjul11	818373	160x600	87	71	0	0	0.00	2011-11-18	2011-11-18	0	3
aigebi1amjul11	778979	728x90	1184	4	0	0	0.00	2011-08-15	2011-08-15	0	4
aigebi1amjul11	765489	160x600	87	397	0	0	0.00	2011-08-05	2011-08-02	3	9
aigebi1amjul11	790858	160x600	1183	703	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	755829	728x90	1184	1	0	0	0.00	2011-08-15	2011-08-15	0	1
aigebi1amjul11	789118	468x60	87	56	0	0	0.00	2011-08-24	2011-08-02	22	1
aigebi1amjul11	793100	160x600	1183	241	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	799077	300x250	1183	1721	0	0	0.00	2011-09-13	2011-07-30	45	9
aigebi1amjul11	801275	300x250	1183	12	0	0	0.00	2011-09-26	2011-09-26	0	7
aigebi1amjul11	806796	728x90	87	1013	0	0	0.00	2011-09-27	2011-08-17	41	8
aigebi1amjul11	805187	728x90	87	605	0	0	0.00	2011-09-24	2011-07-14	72	9
aigebi1amjul11	809975	120x600	1183	1	0	0	0.00	2011-07-27	2011-07-27	0	1
aigebi1amjul11	808272	300x250	1184	7	0	0	0.00	2011-08-16	2011-08-15	1	5
aigebi1amjul11	815281	728x90	87	125	0	0	0.00	2011-10-25	2011-10-07	18	8
aigebi1amjul11	818650	728x90	87	18	0	0	0.00	2011-11-23	2011-11-23	0	2
aigebi1amjul11	771523	160x600	1183	157	0	0	0.00	2011-11-30	2011-10-05	56	3
aigebi1amjul11	782573	300x250	1183	740	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	742403	300x250	1	278	0	0	0.00	2011-10-03	2011-07-14	81	9
aigebi1amjul11	705635	728x90	87	29	0	0	0.00	2011-08-16	2011-08-16	0	8
aigebi1amjul11	766285	160x600	87	35	0	0	0.00	2011-08-31	2011-08-28	3	9
aigebi1amjul11	756719	468x60	1183	106	0	0	0.00	2011-09-09	2011-08-13	27	1
aigebi1amjul11	789228	300x250	1183	4	0	0	0.00	2011-09-18	2011-09-01	17	3
aigebi1amjul11	795102	728x90	87	932	10	0	0.00	2011-09-27	2011-07-18	71	9
aigebi1amjul11	793280	728x90	1183	332	0	0	0.00	2011-08-17	2011-07-14	34	9
aigebi1amjul11	797045	120x600	1183	2	0	0	0.00	2011-10-20	2011-10-20	0	1
aigebi1amjul11	803752	160x600	1183	8	0	0	0.00	2011-07-18	2011-07-18	0	6
aigebi1amjul11	806937	300x250	87	195	1	0	0.00	2011-09-17	2011-07-21	58	9
aigebi1amjul11	805289	300x250	87	422	0	0	0.00	2011-09-27	2011-07-15	74	9
aigebi1amjul11	810043	300x250	1183	9	0	0	0.00	2011-11-29	2011-11-01	28	3
aigebi1amjul11	815630	300x250	87	89	0	0	0.00	2011-10-18	2011-10-18	0	3
aigebi1amjul11	811876	160x600	1183	20	0	0	0.00	2011-09-05	2011-08-24	12	8
aigebi1amjul11	818798	300x250	1183	904	0	0	0.00	2011-11-24	2011-11-24	0	3
aigebi1amjul11	743193	300x250	1184	1	0	0	0.00	2011-08-16	2011-08-16	0	1
aigebi1amjul11	779691	300x250	1183	25	0	0	0.00	2011-07-15	2011-07-14	1	8
aigebi1amjul11	787492	160x600	1183	866	0	0	0.00	2011-08-22	2011-07-14	39	9
aigebi1amjul11	766802	728x90	292	261	1	0	0.00	2011-09-27	2011-07-17	72	9
aigebi1amjul11	785214	160x600	1183	357	0	0	0.00	2011-08-31	2011-07-14	48	9
aigebi1amjul11	757040	300x250	87	2669	1	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	789453	300x250	1183	384	0	0	0.00	2011-09-14	2011-08-08	37	9
aigebi1amjul11	793459	120x600	87	33	0	0	0.00	2011-10-21	2011-08-17	65	1
aigebi1amjul11	797241	160x600	1183	2	0	0	0.00	2011-11-16	2011-11-16	0	2
aigebi1amjul11	801492	160x600	87	1092	0	0	0.00	2011-10-15	2011-07-14	93	9
