"DATE_HOUR","SITE_ID","MEDIA_ID","SEGMENT_ID","BID","IMPRESSIONS","CLICKS","ACTIONS","CONVERSIONS","SPEND"
"06/06/2011 09","764294","942363","1",".26","1782","0","0","0",".46332"
"06/06/2011 09","765030","942354","1183",".78","168","0","0","0",".13104"
"06/06/2011 09","767175","942363","85",".15","15","0","0","0",".00225"
"06/06/2011 09","768114","942356","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","768114","942363","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","768117","942314","1183",".01","9","0","0","0",".00009"
"06/06/2011 09","768117","942354","1183",".01","6","0","0","0",".00006"
"06/06/2011 09","768117","942361","1183",".01","5","0","0","0",".00005"
"06/06/2011 09","768919","942363","1183",".13","67","0","0","0",".00871"
"06/06/2011 09","769563","942353","1183",".56","375","0","0","0",".21"
"06/06/2011 09","770253","982271","82",".06","433","0","0","0",".02598"
"06/06/2011 09","770255","942314","78",".01","9","0","0","0",".00009"
"06/06/2011 09","770255","942314","79",".01","4","0","0","0",".00004"
"06/06/2011 09","770255","942314","85",".01","204","0","0","0",".00204"
"06/06/2011 09","770255","942354","78",".01","7","0","0","0",".00007"
"06/06/2011 09","770255","942354","79",".01","8","0","0","0",".00008"
"06/06/2011 09","770255","942354","85",".01","199","0","0","0",".00199"
"06/06/2011 09","770255","942361","78",".01","8","0","0","0",".00008"
"06/06/2011 09","770255","942361","79",".01","4","0","0","0",".00004"
"06/06/2011 09","770255","942361","85",".01","188","0","0","0",".00188"
"06/06/2011 09","770255","971390","78",".01","4","0","0","0",".00004"
"06/06/2011 09","770255","971390","79",".01","3","0","0","0",".00003"
"06/06/2011 09","770255","971390","84",".02","23","0","0","0",".00046"
"06/06/2011 09","770255","971390","85",".01","195","0","0","0",".00195"
"06/06/2011 09","770255","982273","78",".01","4","0","0","0",".00004"
"06/06/2011 09","770255","982273","79",".01","3","0","0","0",".00003"
"06/06/2011 09","770255","982273","85",".01","232","0","0","0",".00232"
"06/06/2011 09","770255","1007649","78",".01","1","0","0","0",".00001"
"06/06/2011 09","770259","942356","85",".01","1250","0","0","0",".0125"
"06/06/2011 09","770259","942363","85",".01","1295","0","0","0",".01295"
"06/06/2011 09","770259","965167","85",".01","1241","0","0","0",".01241"
"06/06/2011 09","770259","971391","85",".01","1199","0","0","0",".01199"
"06/06/2011 09","770259","982277","83",".02","298","0","0","0",".00596"
"06/06/2011 09","770259","982277","84",".02","8","0","0","0",".00016"
"06/06/2011 09","770259","982277","85",".01","1176","0","0","0",".01176"
"06/06/2011 09","770259","1007646","85",".01","1","0","0","0",".00001"
"06/06/2011 09","770259","1007653","85",".01","1","0","0","0",".00001"
"06/06/2011 09","770259","1007664","85",".01","1","0","0","0",".00001"
"06/06/2011 09","770974","942356","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","770974","942363","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","770975","942314","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","770975","942354","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","770975","942361","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","770976","942353","1183",".21","17","0","0","0",".00357"
"06/06/2011 09","771346","942314","1183",".04","65","0","0","0",".0026"
"06/06/2011 09","772005","942356","1183",".04","84","0","0","0",".00336"
"06/06/2011 09","125","971338","-18","0","2","0","0","0","0"
"06/06/2011 09","125","1014765","1183","0","2","0","0","0","0"
"06/06/2011 09","101030","942355","69",".04","30","0","0","0",".0012"
"06/06/2011 09","259799","942355","1","1.02","31","0","0","0",".03162"
"06/06/2011 09","706728","942363","66",".01","2","0","0","0",".00002"
"06/06/2011 09","708686","942356","1",".02","4","0","0","0",".00008"
"06/06/2011 09","708687","982273","1183",".02","6","0","0","0",".00012"
"06/06/2011 09","708688","982272","82",".01","3","0","0","0",".00003"
"06/06/2011 09","708688","982272","83",".01","2","0","0","0",".00002"
"06/06/2011 09","708688","982272","84",".01","6","0","0","0",".00006"
"06/06/2011 09","708688","1014763","78",".05","49","0","0","0",".00245"
"06/06/2011 09","708688","1014763","79",".05","128","0","0","0",".0064"
"06/06/2011 09","708688","1014763","82",".01","1","0","0","0",".00001"
"06/06/2011 09","708688","1014763","83",".01","2","0","0","0",".00002"
"06/06/2011 09","708688","1014763","84",".01","5","0","0","0",".00005"
"06/06/2011 09","708688","1014763","85",".05","945","0","0","0",".04725"
"06/06/2011 09","712270","942353","1",".01","7","0","0","0",".00007"
"06/06/2011 09","712270","942358","1",".01","3","0","0","0",".00003"
"06/06/2011 09","712270","965163","1",".01","5","0","0","0",".00005"
"06/06/2011 09","712270","971326","1",".01","5","0","0","0",".00005"
"06/06/2011 09","712270","982271","1",".01","10","0","0","0",".0001"
"06/06/2011 09","712270","1014762","1",".01","8","0","0","0",".00008"
"06/06/2011 09","715925","942353","1",".21","26","0","0","0",".00546"
"06/06/2011 09","723093","942353","1",".01","1","0","0","0",".00001"
"06/06/2011 09","723093","942358","1",".01","2","0","0","0",".00002"
"06/06/2011 09","725952","942356","69",".32","1164","4","0","0",".37216"
"06/06/2011 09","734864","942354","1",".33","15","0","0","0",".00495"
"06/06/2011 09","734864","971390","1",".33","4","0","0","0",".00132"
"06/06/2011 09","735541","942356","1",".01","2","0","0","0",".00002"
"06/06/2011 09","735541","942363","1",".01","1","0","0","0",".00001"
"06/06/2011 09","735793","942354","1183",".49","66","1","0","0",".03234"
"06/06/2011 09","743164","971347","69",".01","1622","0","0","0",".01622"
"06/06/2011 09","743198","982277","85",".1","52","0","0","0",".0052"
"06/06/2011 09","743206","971390","272",".97","443","1","0","0",".42971"
"06/06/2011 09","746591","942354","1183",".2","312","0","0","0",".0624"
"06/06/2011 09","746592","942353","1183",".21","234","0","0","0",".04914"
"06/06/2011 09","749497","942363","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","751771","942363","1183",".02","14","0","0","0",".00028"
"06/06/2011 09","751771","971391","1183",".02","23","0","0","0",".00046"
"06/06/2011 09","751771","982277","1183",".02","19","0","0","0",".00038"
"06/06/2011 09","753372","942356","1",".01","3","0","0","0",".00003"
"06/06/2011 09","753425","982271","1",".14","13","0","0","0",".00182"
"06/06/2011 09","753795","942353","1183",".28","515","0","0","0",".1442"
"06/06/2011 09","754268","942354","69",".05","16","0","0","0",".0008"
"06/06/2011 09","754289","971391","67",".05","106","0","0","0",".0053"
"06/06/2011 09","755383","942354","1183","1.13","239","0","0","0",".27007"
"06/06/2011 09","755494","942353","1183",".14","209","0","0","0",".02926"
"06/06/2011 09","756792","942354","65",".55","516","0","0","0",".2838"
"06/06/2011 09","758728","942314","1",".07","495","0","0","0",".03465"
"06/06/2011 09","758741","942356","81",".01","1","0","0","0",".00001"
